Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1518,Communication in English II,GES2104,2,1,,0,2,7,2,,GES1104,,1900-01-01,1900-01-02
1519,Nigerian Peoples and Culture,GES2105,2,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1520,Nigerian Peoples and Culture,GES2105,2,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1521,Introduction to Science and Technology,GES2108,2,1,,1,2,7,2,,,,1900-01-01,1900-01-02
1522,Introduction to Science and Technology,GES2108,2,1,,1,2,7,2,,,,1900-01-01,1900-01-02
1523,Nigerian Peoples and Culture,GES2201,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1524,Nigerian Peoples and Culture,GES2201,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1525,Intro. to Hstory and Philosophy of Science,GES2202,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1526,Intro. to Hstory and Philosophy of Science,GES2202,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1527,Entrepreneurial Education II,GES2203,0,2,,1,2,7,2,,,,1900-01-01,1900-01-02
1528,Entrepreneurial Education II,GES2203,0,2,,1,2,7,2,,,,1900-01-01,1900-01-02
1529,Entrepreneurial Education II,GES2203B,0,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1530,Introduction  to Social Sciences,GES2204,2,2,,1,2,7,2,,,,1900-01-01,1900-01-02
1531,Introduction to Social Sciences,GES2204,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1532,Introduction to Social Sciences,GES2204,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1533,Introduction  to Entrepreneurial Education ,GES2205,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1534,Introduction to Entrepreneurial Studies I (Theory),GES2205,1,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1535,Introduction to Entrepreneurial Studies I (Theory),GES2205,1,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1536,Introduction to Entrepreneurial Studies II (Practical),GES2206,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
