Id,Name,Description,StateId,CreatedDate,UpdatedDate
182,Ogoja,,9,4/20/2024,4/20/2024
183,Yakuur,,9,4/20/2024,4/20/2024
184,Yala,,9,4/20/2024,4/20/2024
185,Ethiope west,,10,4/20/2024,4/20/2024
186,Ethiope east,,10,4/20/2024,4/20/2024
187,Ika south,,10,4/20/2024,4/20/2024
188,Ika north east,,10,4/20/2024,4/20/2024
189,Isoko south,,10,4/20/2024,4/20/2024
190,Isoko north,,10,4/20/2024,4/20/2024
191,Aniocha south,,10,4/20/2024,4/20/2024
192,Anioha,,10,4/20/2024,4/20/2024
193,Bomadi,,10,4/20/2024,4/20/2024
194,Burutu,,10,4/20/2024,4/20/2024
195,Ukwuani,,10,4/20/2024,4/20/2024
196,Uviwie,,10,4/20/2024,4/20/2024
197,Warri central,,10,4/20/2024,4/20/2024
198,Warri north,,10,4/20/2024,4/20/2024
199,Warri south,,10,4/20/2024,4/20/2024
200,Okpe,,10,4/20/2024,4/20/2024
201,Oshimili north,,10,4/20/2024,4/20/2024
202,Oshimili south,,10,4/20/2024,4/20/2024
203,Patani,,10,4/20/2024,4/20/2024
204,Sapele,,10,4/20/2024,4/20/2024
205,Ndokwa east,,10,4/20/2024,4/20/2024
206,Ndokwa west,,10,4/20/2024,4/20/2024
207,Udu,,10,4/20/2024,4/20/2024
208,Ughelli south,,10,4/20/2024,4/20/2024
209,Ughelli north,,10,4/20/2024,4/20/2024
210,Izzi,,11,4/20/2024,4/20/2024
211,Abakaliki,,11,4/20/2024,4/20/2024
212,Ezza North,,11,4/20/2024,4/20/2024
213,Ivo,,11,4/20/2024,4/20/2024
214,Afikpo South (Edda),,11,4/20/2024,4/20/2024
215,Ohaozara,,11,4/20/2024,4/20/2024
216,Afikpo North,,11,4/20/2024,4/20/2024
217,Ebonyi,,11,4/20/2024,4/20/2024
218,Ohaukwu,,11,4/20/2024,4/20/2024
219,Onicha,,11,4/20/2024,4/20/2024
220,Ezza South,,12,4/20/2024,4/20/2024
221,Ikwo,,12,4/20/2024,4/20/2024
